"id_estudiante","beca","ingreso_familiar","escolaridad_madre","escolaridad_padre","num_hermanos","rural","indigena","distancia_escuela","mujer","edad","calificacion_previa","asistencia_previa","calificacion","asistencia","desercion"
1,0,12944.46,3,12,1,0,0,0.12,1,15,98,98,93.8,100,0
2,0,14293.68,9,6,3,1,1,3.87,0,17,98,98,86.6,97.8,0
3,0,7424.62,12,6,2,1,0,0.64,1,15,95.1,98,91.7,100,0
4,0,5637.54,3,9,2,1,0,6.18,1,15,83.9,93.5,78.5,93.2,0
5,0,13157.01,3,9,3,0,0,0.53,0,12,98,98,89.6,100,0
6,1,1892.46,12,0,0,0,0,0.13,1,15,68.6,98,69.5,100,0
7,0,13414.33,12,3,1,0,0,0.32,0,15,98,98,100,100,0
8,0,6496.72,9,16,5,0,0,0.53,1,16,98,98,100,97.3,0
9,1,6455.4,12,0,1,0,0,0.31,1,13,96.6,98,100,100,0
10,0,3883.7,12,9,4,0,0,0.93,0,13,89.3,98,81.4,92,0
11,0,7383.49,9,0,3,0,0,1.05,1,15,98,98,90.9,100,0
12,0,34677.61,12,12,3,0,0,0.15,0,14,98,98,89.7,96.2,0
13,0,10899.83,16,9,4,0,0,0.16,1,14,98,98,95.5,100,0
14,0,12285.48,6,3,4,0,0,0.79,0,12,98,98,91.8,89.3,0
15,0,4445.17,6,9,1,0,0,2,1,15,89.1,98,96.9,100,0
16,0,15576.52,0,12,3,1,0,4.28,1,15,98,98,91.9,100,0
17,1,3987.48,6,12,4,0,1,0.6,0,12,84.2,98,91.6,98.1,0
18,0,6215.11,3,3,3,0,0,1.06,0,15,73.4,98,54.8,95.7,0
19,0,19862.13,6,6,3,1,0,0.61,0,14,98,98,100,90.7,0
20,0,10290.53,9,6,2,0,0,1.62,1,14,98,98,94.2,97,0
21,0,15118.85,0,3,2,0,0,1.55,1,15,84.9,98,85.1,100,0
22,0,25968.2,3,3,4,1,0,0.31,1,15,98,98,93.8,99,0
23,0,4839.36,3,6,2,0,0,0.45,1,18,79.6,98,81.9,97.4,0
24,1,2339.03,6,6,1,0,0,0.72,1,12,67.6,98,67.8,100,0
25,1,2257.09,9,9,2,0,0,0.1,1,13,83.9,98,100,100,0
26,0,34340.41,9,9,6,0,0,1.24,1,16,98,98,87.4,100,0
27,0,5512,3,12,2,0,1,0.4,1,13,90.3,98,94.7,100,0
28,0,13310.44,3,0,2,0,0,0.28,1,12,98,98,90.7,100,0
29,0,13222.81,6,9,2,0,0,2,1,14,98,98,94.6,100,0
30,0,7116.36,6,12,2,1,1,0.74,1,18,98,98,99,100,0
31,0,15514.01,12,9,4,0,0,0.3,1,14,98,98,95.9,100,0
32,0,46979.51,6,12,0,0,0,0.41,0,15,98,98,93,94.2,0
33,0,41745.72,9,9,1,0,0,1.1,0,15,98,98,100,96.2,0
34,0,29910.25,0,9,1,0,1,1.13,0,12,98,98,92.1,98.5,0
35,0,9931,6,9,1,0,0,0.5,0,15,98,98,100,100,0
36,0,12003.46,12,0,4,1,0,1.6,0,13,98,98,98.5,99.1,0
37,0,6252.46,12,0,1,0,0,1.48,0,16,85.8,98,98,100,0
38,1,2143.85,6,9,3,0,0,1.91,1,16,92.4,97.3,91.8,100,0
39,0,33329.13,0,9,0,0,0,0.47,1,14,98,98,99.2,98,0
40,0,8272.08,3,3,3,1,0,1.47,1,14,71.2,98,66,100,0
41,0,19986.43,9,0,0,0,0,0.31,0,16,98,98,99,100,0
42,1,1206.78,6,3,3,0,1,0.19,1,17,67,87.8,77,100,0
43,1,3469.58,12,6,3,0,0,0.19,0,15,98,98,92,100,0
44,0,17149.3,3,6,2,0,0,0.31,0,13,98,98,88.2,86.3,0
45,0,16051.56,9,3,1,1,0,7.9,0,16,98,98,93.4,95.4,0
46,0,26071.12,6,9,6,0,1,0.48,1,16,98,98,95.9,100,0
47,1,2616.31,16,6,3,1,0,1.71,1,18,90.5,98,100,100,0
48,0,12758.11,6,0,2,0,0,0.01,0,12,98,98,96.5,100,0
49,0,12920.24,6,0,6,0,1,0.39,0,13,97.8,98,88,96.2,0
50,0,2848.54,9,16,2,1,1,0.11,0,16,98,98,90.2,100,0
51,0,5258.97,0,9,4,0,0,0.5,1,18,75.3,98,78.2,100,0
52,0,38490.01,9,6,4,1,0,1.06,0,15,98,98,88.9,100,0
53,0,8458.04,3,6,2,1,0,0.37,1,12,85.6,98,87,91.3,0
54,0,10735.7,3,3,3,0,0,0.51,0,14,92,98,93.3,99.2,0
55,0,4737.28,6,16,0,1,0,6.2,1,13,84.5,94.6,76.3,87.5,0
56,0,10120.95,6,9,1,0,1,0.3,0,13,98,98,100,92.3,0
57,0,14086,9,16,0,0,0,1.61,1,15,98,98,86.2,100,0
58,0,15662.68,6,0,2,0,0,0.39,1,12,98,98,81,97.2,0
59,0,45073.6,6,12,4,1,1,0.91,0,16,98,98,93.1,100,0
60,1,1239.48,6,9,2,0,0,0.03,0,13,63.1,89.4,66.8,99.3,0
61,0,9133.22,9,3,3,0,0,0.56,1,13,98,98,93.5,86.6,0
62,1,2768.26,12,6,5,1,0,2.82,0,14,80.6,98,84.8,100,0
63,0,12615.01,6,6,1,0,0,0.06,1,15,98,98,100,98.5,0
64,0,28910.79,12,0,2,0,0,1.75,0,18,98,98,92.4,85.1,0
65,0,5066.96,9,3,2,1,0,3.63,1,13,94.6,98,91,98.7,0
66,1,1870.76,9,12,5,0,0,0.31,0,15,98,98,92.9,100,0
67,0,16490.04,0,3,2,0,0,2.3,0,13,96.9,98,100,94.2,0
68,0,28992.45,3,6,0,0,0,0.37,1,17,98,98,95.4,95.5,0
69,0,12252.48,0,0,2,0,1,0.37,1,13,98,98,92.9,99.6,0
70,1,2874.01,0,9,3,0,0,1.41,1,14,78.6,95.9,86.3,100,0
71,0,8464.98,6,12,2,1,1,3.77,1,14,91.7,98,97.2,100,0
72,0,4325.49,3,9,1,0,0,2.16,0,16,75.9,98,86,100,0
73,0,3500,0,6,2,0,1,0.22,0,15,80.9,98,85.2,91.4,0
74,0,52282.11,9,3,1,0,0,0.42,0,16,98,98,100,100,0
75,0,24888.58,3,12,1,1,0,4.4,1,16,98,98,95.4,92.2,0
76,0,17224.37,6,16,5,1,0,7.55,1,15,98,98,98.7,100,0
77,0,15693.57,9,9,0,0,0,0.26,1,16,98,98,100,97,0
78,1,4233.43,0,0,1,0,1,0.7,1,15,64,95.8,72.2,100,0
79,0,11860.85,12,6,2,0,0,0.82,0,16,98,98,100,100,0
80,0,18343.06,0,0,3,0,0,0.6,1,15,97.6,98,91.8,84.6,0
81,0,13579.36,9,6,0,0,0,0.78,1,15,98,98,100,99.5,0
82,0,18667.04,6,0,4,0,0,0.32,0,13,98,98,97.8,100,0
83,0,6351.87,6,6,3,1,0,0.23,0,13,73.6,98,81.9,98,0
84,0,58787.75,16,0,3,0,0,0.1,0,12,98,98,100,100,0
85,0,17623.29,9,3,2,0,0,0.57,1,14,98,98,98.4,88.6,0
86,0,36086.69,6,6,0,1,0,1.32,1,15,98,98,100,98.6,0
87,0,13872.09,3,12,5,0,0,0.63,0,15,98,98,100,100,0
